timestamp,lauf,datensatz,n_train_soll,n_train_actual,n_test,n_kernel_evals,feature_map,feature_map_reps,entanglement,shots,optimization_level,circ_depth,gate_count,modell,accuracy,f1_score,precision,recall,t_transpile_s,t_kernel_s,t_fit_s,t_infer_s,t_gesamt_s,status
2026-05-09T17:31:08.223562,1,Iris,30,30,45,465,ZZFeatureMap,1,linear,128,1,13,13,Quantum Kernel SVM,0.5778,0.57,0.5684,0.5778,0.0063,29.1417,0.0036,66.783,95.9346,OK
2026-05-09T17:32:46.658989,2,Iris,30,30,45,465,ZZFeatureMap,1,linear,1024,1,13,13,Quantum Kernel SVM,0.5333,0.5232,0.5189,0.5333,0.0037,28.9844,0.003,69.3407,98.3318,OK
2026-05-09T17:34:26.722821,3,Iris,30,30,45,465,ZZFeatureMap,1,full,128,1,13,13,Quantum Kernel SVM,0.5556,0.547,0.5446,0.5556,0.0036,28.5199,0.0029,71.4325,99.9589,OK
2026-05-09T17:36:03.200844,4,Iris,30,30,45,465,ZZFeatureMap,1,full,1024,1,13,13,Quantum Kernel SVM,0.5333,0.5203,0.5247,0.5333,0.0037,28.0019,0.0029,68.3699,96.3784,OK
2026-05-09T17:37:54.765766,5,Iris,30,30,45,465,ZZFeatureMap,2,linear,128,1,23,26,Quantum Kernel SVM,0.5556,0.5532,0.5601,0.5556,0.0037,32.0709,0.0029,79.3884,111.4659,OK
2026-05-09T17:39:46.111522,6,Iris,30,30,45,465,ZZFeatureMap,2,linear,1024,1,23,26,Quantum Kernel SVM,0.6,0.5996,0.6074,0.6,0.0037,31.004,0.003,80.2352,111.2459,OK
2026-05-09T17:41:42.445316,7,Iris,30,30,45,465,ZZFeatureMap,2,full,128,1,23,26,Quantum Kernel SVM,0.5556,0.5547,0.5684,0.5556,0.0037,33.3939,0.0029,82.8293,116.2298,OK
2026-05-09T17:43:33.346177,8,Iris,30,30,45,465,ZZFeatureMap,2,full,1024,1,23,26,Quantum Kernel SVM,0.5778,0.577,0.5857,0.5778,0.0037,30.455,0.003,80.338,110.7997,OK
2026-05-09T17:45:14.953135,9,Iris,30,30,45,465,PauliFeatureMap,1,linear,128,1,13,13,Quantum Kernel SVM,0.5556,0.5489,0.5448,0.5556,0.0036,29.0707,0.0029,72.428,101.5052,OK
2026-05-09T17:46:56.835575,10,Iris,30,30,45,465,PauliFeatureMap,1,linear,1024,1,13,13,Quantum Kernel SVM,0.5556,0.5489,0.5448,0.5556,0.0036,29.2252,0.0029,72.5486,101.7803,OK
2026-05-09T17:48:38.007225,11,Iris,30,30,45,465,PauliFeatureMap,1,full,128,1,13,13,Quantum Kernel SVM,0.5556,0.5461,0.5444,0.5556,0.0036,31.4014,0.0029,69.6639,101.0718,OK
2026-05-09T17:50:18.984144,12,Iris,30,30,45,465,PauliFeatureMap,1,full,1024,1,13,13,Quantum Kernel SVM,0.5556,0.5447,0.5479,0.5556,0.004,31.6499,0.0028,69.2185,100.8752,OK
2026-05-09T17:52:12.985740,13,Iris,30,30,45,465,PauliFeatureMap,2,linear,128,1,23,26,Quantum Kernel SVM,0.5778,0.5761,0.577,0.5778,0.0037,33.9461,0.0029,79.9483,113.901,OK
2026-05-09T17:54:09.979064,14,Iris,30,30,45,465,PauliFeatureMap,2,linear,1024,1,23,26,Quantum Kernel SVM,0.5556,0.5547,0.5684,0.5556,0.0037,34.6877,0.0029,82.1979,116.8922,OK
2026-05-09T17:56:05.546103,15,Iris,30,30,45,465,PauliFeatureMap,2,full,128,1,23,26,Quantum Kernel SVM,0.5778,0.5749,0.5796,0.5778,0.0037,31.7571,0.0028,83.7026,115.4662,OK
2026-05-09T17:57:54.890683,16,Iris,30,30,45,465,PauliFeatureMap,2,full,1024,1,23,26,Quantum Kernel SVM,0.5111,0.5026,0.5087,0.5111,0.0038,30.5351,0.003,78.7015,109.2434,OK
2026-05-09T17:59:38.169628,17,Iris,30,30,45,465,ZZFeatureMap,1,linear,128,1,13,13,Quantum Kernel SVM,0.5333,0.5232,0.5189,0.5333,0.0039,29.8746,0.0029,73.2807,103.1621,OK
2026-05-09T18:01:19.744051,18,Iris,30,30,45,465,ZZFeatureMap,1,linear,256,1,13,13,Quantum Kernel SVM,0.5333,0.5214,0.5201,0.5333,0.0036,30.8691,0.0032,70.5962,101.4721,OK
2026-05-09T18:03:06.218728,19,Iris,30,30,45,465,ZZFeatureMap,1,linear,512,1,13,13,Quantum Kernel SVM,0.6,0.5949,0.5964,0.6,0.0036,31.2636,0.0029,75.1009,106.371,OK
2026-05-09T18:04:42.670550,20,Iris,30,30,45,465,ZZFeatureMap,1,linear,1024,1,13,13,Quantum Kernel SVM,0.5333,0.5262,0.5225,0.5333,0.0036,28.283,0.003,68.0626,96.3522,OK
2026-05-09T18:06:27.740276,21,Iris,30,30,45,465,ZZFeatureMap,1,circular,128,1,13,13,Quantum Kernel SVM,0.5333,0.5279,0.5282,0.5333,0.0037,30.8241,0.003,74.134,104.9648,OK
2026-05-09T18:08:09.836258,22,Iris,30,30,45,465,ZZFeatureMap,1,circular,256,1,13,13,Quantum Kernel SVM,0.4889,0.4795,0.4802,0.4889,0.0036,31.0565,0.0034,70.9307,101.9942,OK
2026-05-09T18:09:51.828383,23,Iris,30,30,45,465,ZZFeatureMap,1,circular,512,1,13,13,Quantum Kernel SVM,0.5556,0.5461,0.5444,0.5556,0.0037,31.669,0.003,70.2174,101.8931,OK
2026-05-09T18:11:35.192090,24,Iris,30,30,45,465,ZZFeatureMap,1,circular,1024,1,13,13,Quantum Kernel SVM,0.5556,0.5461,0.5444,0.5556,0.0037,30.6444,0.003,72.612,103.2631,OK
2026-05-09T18:13:16.820380,25,Iris,30,30,45,465,ZZFeatureMap,1,full,128,1,13,13,Quantum Kernel SVM,0.5556,0.5448,0.5439,0.5556,0.0036,30.2291,0.0028,71.2938,101.5293,OK
2026-05-09T18:14:59.408429,26,Iris,30,30,45,465,ZZFeatureMap,1,full,256,1,13,13,Quantum Kernel SVM,0.5333,0.5305,0.5331,0.5333,0.0037,31.7911,0.0029,70.691,102.4887,OK
2026-05-09T18:16:41.079046,27,Iris,30,30,45,465,ZZFeatureMap,1,full,512,1,13,13,Quantum Kernel SVM,0.5333,0.5214,0.5201,0.5333,0.0036,30.4809,0.0029,71.0824,101.5698,OK
2026-05-09T18:18:25.208726,28,Iris,30,30,45,465,ZZFeatureMap,1,full,1024,1,13,13,Quantum Kernel SVM,0.5778,0.5681,0.5739,0.5778,0.0036,33.815,0.0029,70.2069,104.0284,OK
2026-05-09T18:20:22.420038,29,Iris,30,30,45,465,ZZFeatureMap,2,linear,128,1,23,26,Quantum Kernel SVM,0.5556,0.5539,0.5693,0.5556,0.0037,32.719,0.0029,84.3843,117.1099,OK
2026-05-09T18:22:19.493344,30,Iris,30,30,45,465,ZZFeatureMap,2,linear,256,1,23,26,Quantum Kernel SVM,0.5556,0.5532,0.5601,0.5556,0.0037,34.9915,0.0037,81.968,116.9669,OK
2026-05-09T18:24:14.963835,31,Iris,30,30,45,465,ZZFeatureMap,2,linear,512,1,23,26,Quantum Kernel SVM,0.5333,0.5313,0.5503,0.5333,0.0037,33.3457,0.0029,82.0087,115.361,OK
2026-05-09T18:26:11.879849,32,Iris,30,30,45,465,ZZFeatureMap,2,linear,1024,1,23,26,Quantum Kernel SVM,0.5778,0.5764,0.5808,0.5778,0.004,35.3826,0.0037,81.4227,116.813,OK
2026-05-09T18:28:12.053332,33,Iris,30,30,45,465,ZZFeatureMap,2,circular,128,1,23,26,Quantum Kernel SVM,0.5111,0.5039,0.5154,0.5111,0.004,35.2433,0.0029,84.8179,120.0681,OK
2026-05-09T18:30:08.431217,34,Iris,30,30,45,465,ZZFeatureMap,2,circular,256,1,23,26,Quantum Kernel SVM,0.5556,0.5532,0.5601,0.5556,0.0037,31.9151,0.0029,84.3543,116.276,OK
2026-05-09T18:32:04.028873,35,Iris,30,30,45,465,ZZFeatureMap,2,circular,512,1,23,26,Quantum Kernel SVM,0.4889,0.4801,0.4897,0.4889,0.0037,33.3897,0.0028,82.101,115.4972,OK
2026-05-09T18:34:02.613776,36,Iris,30,30,45,465,ZZFeatureMap,2,circular,1024,1,23,26,Quantum Kernel SVM,0.6222,0.6221,0.6246,0.6222,0.0037,34.6494,0.0029,83.8288,118.4848,OK
2026-05-09T18:35:58.652749,37,Iris,30,30,45,465,ZZFeatureMap,2,full,128,1,23,26,Quantum Kernel SVM,0.5778,0.5758,0.5842,0.5778,0.0037,30.0202,0.0029,85.9108,115.9376,OK
2026-05-09T18:37:53.891985,38,Iris,30,30,45,465,ZZFeatureMap,2,full,256,1,23,26,Quantum Kernel SVM,0.5778,0.5756,0.5876,0.5778,0.0037,32.4609,0.0029,82.6707,115.1382,OK
2026-05-09T18:39:53.902994,39,Iris,30,30,45,465,ZZFeatureMap,2,full,512,1,23,26,Quantum Kernel SVM,0.5556,0.5528,0.5604,0.5556,0.0037,36.7352,0.0029,83.167,119.9088,OK
2026-05-09T18:41:55.997326,40,Iris,30,30,45,465,ZZFeatureMap,2,full,1024,1,23,26,Quantum Kernel SVM,0.5556,0.5528,0.5604,0.5556,0.0037,36.4426,0.003,85.544,121.9933,OK
2026-05-09T18:43:39.136050,41,Iris,30,30,45,465,PauliFeatureMap,1,linear,128,1,13,13,Quantum Kernel SVM,0.5556,0.5468,0.5499,0.5556,0.0036,30.7731,0.0029,72.2577,103.0373,OK
2026-05-09T18:45:26.670424,42,Iris,30,30,45,465,PauliFeatureMap,1,linear,256,1,13,13,Quantum Kernel SVM,0.5333,0.5225,0.5257,0.5333,0.0035,29.3882,0.0038,78.0307,107.4262,OK
